DrugID;Segment;Year;Month;Series;TotDrugQn;MnfPrice;PrcPrice;RtlPrice;Funds;VendorID
31208;1;2015;11;"190615";10.00;16.67;19.14;22.00;0.00;118361
6513;1;2015;11;"530915";10.00;32.43;37.29;44.00;0.00;122044
35978;1;2015;11;"4250815";1.00;44.70;49.44;59.00;0.00;122044
10528;1;2015;11;"070715";4.00;10.67;12.27;14.00;0.00;122044
10528;1;2015;11;"070715";1.00;10.65;12.25;14.00;0.00;122044
2987;1;2015;11;"350715";2.00;16.58;19.07;22.00;0.00;122044
57909;1;2015;11;"020315";10.00;4.65;5.35;6.00;0.00;122044
10266;1;2015;11;"010115";5.00;8.90;10.23;12.00;0.00;122044
10266;1;2015;11;"060615";5.00;9.00;10.35;12.00;0.00;122044
68867;1;2015;11;"427687";2.00;172.81;174.94;209.00;0.00;16866
341;1;2015;11;"T54581A";5.00;110.72;112.99;135.00;0.00;16866
64955;1;2015;11;"0350215";1.00;553.66;538.14;618.00;0.00;16866
48083;1;2015;11;"30315";1.00;181.92;173.83;210.00;0.00;16866
452;1;2015;11;"2315010";1.00;124.97;127.08;152.00;0.00;16866
49303;1;2015;11;"0067";1.00;342.85;349.63;418.00;0.00;16866
51258;1;2015;11;"16224415";1.00;194.16;195.92;234.00;0.00;16866
65134;1;2015;11;"320515";10.00;29.81;28.39;35.16;0.00;5274
53959;1;2015;11;"840915";5.00;18.22;20.95;25.00;0.00;122044
57909;1;2015;11;"020315";10.00;4.65;5.35;6.40;0.00;122044
10266;1;2015;11;"060615";6.00;9.00;10.35;12.30;0.00;122044
51631;1;2015;11;"18VM0515";5.00;27.72;27.62;33.90;0.00;124097
68553;1;2015;11;"060415";1.00;99.99;101.62;121.50;0.00;124097
66248;1;2015;11;"53042";2.00;74.01;76.80;91.60;0.00;124097
48184;1;2015;11;"5A1593";1.00;99.51;109.91;129.80;0.00;124097
66083;1;2015;11;"R22002";1.00;142.02;147.00;175.40;0.00;124097
51762;1;2015;11;"733635";1.00;304.60;316.17;377.00;0.00;124097
51631;1;2015;11;"18VM0515";5.00;27.72;27.62;33.90;0.00;124097
66786;1;2015;11;"C735590";2.00;223.96;241.87;286.50;0.00;124097
48725;1;2015;11;"58049";1.00;107.10;107.92;129.00;0.00;124097
66324;1;2015;11;"52116";5.00;58.26;59.88;71.50;0.00;124097
66325;1;2015;11;"53174";3.00;116.44;119.99;143.00;0.00;124097
48179;1;2015;11;"FG9619";1.00;116.89;118.34;141.70;0.00;124097
39220;1;2015;11;"70415";3.00;63.93;63.77;76.50;0.00;124097
34038;1;2015;11;"S500306";1.00;53.11;55.41;66.00;0.00;124097
51517;1;2015;11;"180815";10.00;33.08;36.37;43.80;0.00;118361
68457;1;2015;11;"114F";1.00;133.29;143.29;169.90;0.00;118361
34257;1;2015;11;"9020215";1.00;113.74;123.09;145.80;0.00;118361
51495;1;2015;11;"48670";2.00;281.38;281.07;337.00;0.00;118361
51812;1;2015;11;"636991";1.00;351.04;354.91;425.00;0.00;16866
66421;1;2015;11;"348268";1.00;241.35;250.32;298.50;0.00;16866
28722;1;2015;11;"T55444A";1.00;500.07;508.10;580.80;0.00;16866
66157;1;2015;11;"3280415";2.00;94.96;94.84;113.80;0.00;16866
341;1;2015;11;"T54581A";5.00;110.72;112.99;135.00;0.00;16866
68289;1;2015;11;"H1080R";3.00;82.87;81.58;98.00;0.00;16866
48517;1;2015;11;"H1378R";3.00;88.70;87.04;104.70;0.00;16866
8378;1;2015;11;"NB0229";1.00;96.50;92.98;112.00;0.00;16866
47921;1;2015;11;"931015";1.00;182.87;134.09;170.00;0.00;16860
31276;1;2015;11;"A35052";2.00;83.47;95.92;112.00;0.00;16860
9087;1;2015;11;"140315";1.00;154.44;138.05;168.00;0.00;16860
52581;1;2015;11;"504432A";6.00;426.64;417.23;502.00;0.00;16860
51632;1;2015;11;"04VL0515";5.00;23.47;24.97;30.00;0.00;16860
42233;1;2015;11;"430515";1.00;230.81;215.82;261.00;0.00;16860
49551;1;2015;11;"060715";1.00;196.30;193.93;233.00;0.00;16860
66153;1;2015;11;"195828";1.00;175.36;182.71;217.00;0.00;16860
52121;1;2015;11;"2540913";1.00;226.02;231.55;276.00;0.00;16860
52122;1;2015;11;"4561013";2.00;520.35;531.52;607.00;0.00;16860
66703;1;2015;11;"15F09QF";2.00;151.11;158.29;188.00;0.00;16860
35381;1;2015;11;"70715";10.00;17.43;20.02;23.00;0.00;16860
67777;1;2015;11;"B501546";3.00;87.26;88.55;106.00;0.00;16860
55365;1;2015;11;"180415";6.00;43.61;40.92;50.00;0.00;16860
49559;1;2015;11;"F7238";3.00;64.69;65.01;77.00;0.00;16860
48842;1;2015;11;"T57821A";3.00;65.13;65.89;78.00;0.00;16860
49550;1;2015;11;"230715";1.00;233.18;230.01;276.00;0.00;16860
66975;1;2015;11;"194890";2.00;134.39;141.02;167.00;0.00;16860
28000;1;2015;11;"5V025";1.00;252.73;255.09;305.00;0.00;16860
22763;1;2015;11;"S95706";1.00;111.25;105.60;127.00;0.00;16860
66894;1;2015;11;"464";3.00;160.12;156.97;188.00;0.00;16860
9359;1;2015;11;"1700615";4.00;253.00;79.87;130.00;0.00;5274
68775;1;2015;11;"200615";1.00;546.59;327.65;436.00;0.00;5274
51643;1;2015;11;"040715";10.00;65.34;33.76;46.00;0.00;5274
56650;1;2015;11;"150758141";5.00;21.65;24.88;29.00;0.00;5274
67915;1;2015;11;"2610715";25.00;9.52;6.40;8.00;0.00;5274
67998;1;2015;11;"161015";5.00;8.50;9.77;11.00;0.00;5274
65179;1;2015;11;"40615";3.00;13.50;15.51;18.00;0.00;5274
30224;1;2015;11;"S500158";2.00;66.19;63.77;77.00;0.00;5274
28308;1;2015;11;"740815";5.00;18.73;17.26;21.00;0.00;123798
46125;1;2015;11;"05150769";5.00;44.36;46.15;56.00;0.00;123798
67299;1;2015;11;"C21096";2.00;43.76;45.41;55.00;0.00;123798
52312;1;2015;11;"110315";2.00;152.02;100.69;131.00;0.00;123798
39583;1;2015;11;"170615";5.00;17.00;17.21;21.00;0.00;123798
51643;1;2015;11;"040715";5.00;65.34;33.76;46.80;0.00;5274
57909;1;2015;11;"010315";14.00;16.17;6.10;9.70;0.00;5274
67998;1;2015;11;"161015";5.00;8.50;9.77;11.70;0.00;5274
229;1;2015;11;"6256035";1.00;296.73;300.72;360.00;0.00;558
52311;1;2015;11;"0740515";1.00;305.98;304.52;365.70;0.00;558
49821;1;2015;11;"260715";10.00;24.48;24.81;30.30;0.00;123798
28308;1;2015;11;"740815";5.00;18.73;17.26;21.50;0.00;123798
47483;1;2015;11;"8670715";3.00;25.08;27.72;33.40;0.00;123798
31214;1;2015;11;"10615";2.00;31.23;28.82;35.90;0.00;123798
52312;1;2015;11;"110315";2.00;152.02;100.69;131.00;0.00;123798
32962;1;2015;11;"720915";4.00;29.89;32.12;38.90;0.00;123798
31643;1;2015;11;"030615";1.00;159.61;151.69;183.60;0.00;16860
49559;1;2015;11;"F7238";2.00;64.69;65.01;77.90;0.00;16860
24988;1;2015;11;"020215";1.00;89.98;71.61;89.60;0.00;16860
68381;1;2015;11;"009";1.00;226.33;207.90;253.00;0.00;16860
50897;1;2015;11;"F55006B";2.00;57.18;55.44;66.80;0.00;16860
66312;1;2015;11;"4V222";2.00;188.71;190.52;228.00;0.00;16860
52283;1;2015;11;"R21960";5.00;51.35;54.34;64.50;0.00;16860
51121;1;2015;11;"5183B";3.00;465.75;493.72;586.80;0.00;558
60290;1;2015;11;"EV5242";2.00;75.34;81.22;96.20;0.00;558
51814;1;2015;11;"NB6589";2.00;339.94;304.57;372.50;0.00;558
65204;1;2015;11;"50836TB22";1.00;1450.83;1470.87;1681.90;0.00;558
30616;1;2015;11;"CJ99A024";1.00;529.53;559.22;636.24;0.00;558
56874;1;2015;11;"120715";3.00;552.10;501.26;581.50;0.00;558
29398;1;2015;11;"FG7845";1.00;307.22;305.93;367.00;0.00;16866
9943;1;2015;11;"132121";1.00;218.20;215.05;258.50;0.00;16866
341;1;2015;11;"T54581A";10.00;110.72;112.99;135.00;0.00;16866
48517;1;2015;11;"H1378R";10.00;88.70;87.04;104.50;0.00;16866
51258;1;2015;11;"16224415";1.00;194.16;195.92;234.50;0.00;16866
66584;1;2015;11;"300715";2.00;39.46;37.65;46.50;0.00;16866
66975;1;2015;11;"195497";3.00;134.39;141.02;167.50;0.00;16860
47242;1;2015;11;"810515";1.00;193.99;187.44;226.00;0.00;16860
66310;1;2015;11;"4V316";2.00;165.28;184.03;217.00;0.00;16860
66703;1;2015;11;"15F09QF";2.00;151.11;158.29;188.50;0.00;16860
66063;1;2015;11;"1031272";1.00;1433.16;1431.30;1639.70;0.00;16866
68545;1;2015;11;"150515";2.00;110.00;96.39;118.30;0.00;16866
66311;1;2015;11;"5V044";2.00;43.74;45.03;54.90;0.00;16866
49569;1;2015;11;"14K01/31";1.00;654.05;687.35;782.40;0.00;16866
45047;1;2015;11;"R00710B";2.00;129.69;127.47;153.40;0.00;16866
66700;1;2015;11;"408141";1.00;389.47;385.69;463.50;0.00;16866
31276;1;2015;11;"A35052";3.00;83.47;95.92;112.50;0.00;16860
49477;1;2015;11;"040614";1.00;99.25;73.70;93.50;0.00;16860
